title,release_date,mpaa,runtime,rating,genres,number_reviews,production_budget,opening_weekend,gross,fb_likes
Star Wars: The Force Awakens,18-Dec-15,PG-13,136,8.1,"Action,Adventure,Fantasy,Sci-Fi",670255,245000000,247966675,936627416,267000
The Wedding Ringer,16-Jan-15,R,101,6.7,Comedy,59500,23000000,24500000,64460211,74000
The Visit,11-Sep-15,PG-13,94,6.2,"Horror,Thriller",83345,5000000,25427560,65069140,29000
Magic Mike XXL,1-Jul-15,R,115,5.7,"Comedy,Drama,Music",42965,14800000,11600000,66009973,41000
War Room,28-Aug-15,PG,120,6.4,Drama,10010,3000000,11351389,67790117,30000
The Big Short,23-Dec-15,R,130,7.8,"Biography,Comedy,Drama,History",250966,28000000,705527,70235322,115000
Paul Blart: Mall Cop 2,17-Apr-15,PG,94,4.4,"Action,Comedy,Crime,Family",26668,30000000,23762435,71038190,81000
Bridge of Spies,16-Oct-15,PG-13,142,7.6,"Drama,History,Thriller",221249,40000000,15371203,72306065,58000
The Intern,25-Sep-15,PG-13,121,7.1,"Comedy,Drama",161668,35000000,17728313,75274748,58000
Pixels,24-Jul-15,PG-13,105,5.6,"Action,Comedy,Family,Sci-Fi",102883,88000000,24011616,78747585,40000
Goosebumps,16-Oct-15,PG,103,6.3,"Adventure,Comedy,Family,Fantasy,Horror",58373,58000000,23618556,80021740,36000
Ted 2,26-Jun-15,R,115,6.3,"Adventure,Comedy,Romance",138452,68000000,33507870,81257500,30000
Maze Runner: The Scorch Trials,18-Sep-15,PG-13,131,6.3,"Action,Sci-Fi,Thriller",161468,61000000,30316510,81687587,24000
Sisters,18-Dec-15,R,118,6,Comedy,50948,30000000,13922855,87028670,15000
Terminator Genisys,1-Jul-15,PG-13,126,6.5,"Action,Adventure,Sci-Fi",207899,155000000,28700000,89732035,82000
Get Hard,27-Mar-15,R,100,6,"Comedy,Crime",96347,40000000,33803253,90353764,14000
Tomorrowland,22-May-15,PG,130,6.5,"Action,Adventure,Family,Mystery,Sci-Fi",144577,190000000,32972000,93417865,38000
Creed,25-Nov-15,PG-13,133,7.6,"Drama,Sport",178054,35000000,29632823,109712885,74000
Trainwreck,17-Jul-15,R,125,6.3,"Comedy,Drama,Romance",107703,35000000,30097040,110008260,26000
Spy,5-Jun-15,R,119,7.1,"Action,Comedy,Crime",190065,65000000,29085719,110822419,44000
The Good Dinosaur,25-Nov-15,PG,93,6.8,"Animation,Adventure,Comedy,Drama,Family,Fantasy",78333,200000000,39155217,123070338,21000
Insurgent,20-Mar-15,PG-13,119,6.3,"Adventure,Sci-Fi,Thriller",174002,110000000,52263680,129995817,28000
The Peanuts Movie,6-Nov-15,G,88,7.1,"Animation,Adventure,Comedy,Family",34116,99000000,44213073,130174897,34000
Daddy's Home,25-Dec-15,PG-13,96,6.1,"Comedy,Family",69923,50000000,38740203,150315155,14000
Mad Max: Fury Road,15-May-15,R,120,8.1,"Action,Adventure,Sci-Fi,Thriller",642204,150000000,44440000,153629485,193000
San Andreas,29-May-15,PG-13,114,6.1,"Action,Adventure,Drama,Thriller",163486,110000000,54588173,155181732,53000
Straight Outta Compton,14-Aug-15,R,147,7.9,"Biography,Drama,History,Music",142305,28000000,56100000,161029270,79000
Fantastic Four,7-Aug-15,PG-13,100,4.3,"Action,Adventure,Sci-Fi",123097,120000000,25685737,56114221,42000
Joy,25-Dec-15,PG-13,124,6.6,"Biography,Drama",99219,60000000,17015168,56443482,26000
The Perfect Guy,11-Sep-15,PG-13,100,5.6,"Drama,Thriller",7628,12000000,25888154,57017904,10000
Vacation,29-Jul-15,R,99,6.1,"Adventure,Comedy",75566,31000000,14681108,58879132,29000
Black Mass,18-Sep-15,R,123,6.9,"Biography,Crime,Drama,History",137247,53000000,22635037,62563543,45000
The SpongeBob Movie: Sponge Out of Water,6-Feb-15,PG,92,6,"Animation,Adventure,Comedy,Family,Fantasy",37742,74000000,55365012,162495848,16000
Fifty Shades of Grey,13-Feb-15,R,125,4.1,"Drama,Romance,Thriller",246485,40000000,94395000,166147885,103000
Hotel Transylvania 2,25-Sep-15,PG,89,6.7,"Animation,Comedy,Family,Fantasy",70436,80000000,48464322,169692572,16000
Home,27-Mar-15,PG,94,6.7,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",78159,135000000,52107731,177343675,27000
Ant-Man,17-Jul-15,PG-13,117,7.3,"Action,Adventure,Comedy,Sci-Fi",375624,130000000,57225526,180191634,63000
Pitch Perfect 2,15-May-15,PG-13,115,6.5,"Comedy,Music",109794,29000000,70300000,183436380,40000
The Revenant,8-Jan-16,R,156,8,"Adventure,Drama,Thriller,Western",506751,135000000,474560,183635922,197000
Mission: Impossible - Rogue Nation,31-Jul-15,PG-13,131,7.4,"Action,Adventure,Thriller",260235,150000000,55520089,195000874,48000
Spectre,6-Nov-15,PG-13,148,6.8,"Action,Adventure,Thriller",311900,245000000,70403148,200074175,88000
Cinderella,13-Mar-15,PG,105,7,"Drama,Family,Fantasy,Romance",118628,95000000,67877361,201148159,57000
The Martian,2-Oct-15,PG-13,144,8,"Adventure,Drama,Sci-Fi",563908,108000000,54308575,228430993,159000
The Hunger Games: Mockingjay - Part 2,20-Nov-15,PG-13,137,6.6,"Action,Adventure,Sci-Fi,Thriller",205847,160000000,102665981,281666058,39000
Minions,10-Jul-15,PG,91,6.4,"Animation,Action,Adventure,Comedy,Family",162769,74000000,115200000,336029560,71000
Furious 7,3-Apr-15,PG-13,137,7.2,"Action,Crime,Thriller",304484,190000000,147187040,350034110,95000
Inside Out,19-Jun-15,PG,95,8.2,"Animation,Adventure,Comedy,Drama,Family,Fantasy",424369,175000000,90440272,356454367,122000
Avengers: Age of Ultron,1-May-15,PG-13,141,7.4,"Action,Adventure,Sci-Fi",523777,250000000,191271109,458991599,119000
Jurassic World,12-Jun-15,PG-13,124,7,"Action,Adventure,Sci-Fi",459857,150000000,204600000,652177271,151000
Hacksaw Ridge,4-Nov-16,R,139,8.2,"Biography,Drama,History,War",230212,40000000,15190758,67115062,82000
Lights Out,22-Jul-16,PG-13,81,6.4,Horror,73472,4900000,21688103,67235683,18000
10 Cloverfield Lane,11-Mar-16,PG-13,104,7.2,"Drama,Horror,Mystery,Sci-Fi,Thriller",198118,15000000,24702752,71897215,40000
Alice Through the Looking Glass,27-May-16,PG,113,6.2,"Adventure,Family,Fantasy",59420,170000000,28112000,77037635,33000
The Purge: Election Year,1-Jul-16,R,109,6,"Action,Horror,Sci-Fi,Thriller",56501,10000000,30870000,79003080,11000
The Accountant,14-Oct-16,R,128,7.4,"Action,Crime,Drama,Thriller",171954,44000000,24710273,86198014,46000
Miss Peregrine's Home for Peculiar Children,30-Sep-16,PG-13,127,6.7,"Adventure,Drama,Family,Fantasy",107121,110000000,28871140,87240689,58000
Don't Breathe,26-Aug-16,R,88,7.2,"Crime,Horror,Thriller",127372,9900000,26411706,89210468,29000
Ride Along 2,15-Jan-16,PG-13,102,5.9,"Action,Comedy",39253,40000000,34040000,90835030,66000
The Magnificent Seven,23-Sep-16,PG-13,132,6.9,"Action,Adventure,Western",128477,90000000,34703397,93381044,39000
Sausage Party,12-Aug-16,R,89,6.3,"Animation,Adventure,Comedy,Fantasy",125237,19000000,34263534,97661826,45000
The Boss,8-Apr-16,R,99,5.4,Comedy,30447,29000000,23586645,63034755,86000
Ice Age: Collision Course,22-Jul-16,PG,94,5.7,"Animation,Adventure,Comedy,Family,Sci-Fi",36303,105000000,21373064,64060187,88000
Now You See Me 2,10-Jun-16,PG-13,129,6.5,"Action,Adventure,Comedy,Crime,Mystery,Thriller",162017,90000000,22383146,65030563,21000
Allegiant,18-Mar-16,PG-13,120,5.7,"Action,Adventure,Mystery,Sci-Fi,Thriller",72478,110000000,29027348,66002193,13000
Passengers,21-Dec-16,PG-13,116,7,"Adventure,Drama,Romance,Sci-Fi",209834,110000000,15055000,100014092,39000
Arrival,11-Nov-16,PG-13,116,8,"Drama,Mystery,Sci-Fi,Thriller",359131,47000000,24000000,100501349,152000
The Conjuring 2,10-Jun-16,R,134,7.4,"Horror,Mystery,Thriller",141370,40000000,40406314,102461593,53000
Independence Day: Resurgence,24-Jun-16,PG-13,120,5.3,"Action,Adventure,Sci-Fi",131522,165000000,41039944,103137295,75000
The Angry Birds Movie,20-May-16,PG,97,6.3,"Animation,Action,Adventure,Comedy,Family",57206,73000000,38155177,107506776,16000
Bad Moms,29-Jul-16,R,100,6.2,Comedy,70364,20000000,23817340,113078694,32000
Sully,9-Sep-16,PG-13,96,7.5,"Biography,Drama",144054,60000000,35028301,125065700,54000
The Legend of Tarzan,1-Jul-16,PG-13,110,6.3,"Action,Adventure,Drama,Romance",122574,180000000,38135000,126585313,39000
Central Intelligence,17-Jun-16,PG-13,107,6.3,"Action,Comedy,Crime",100883,50000000,35535250,127380061,15000
Ghostbusters,15-Jul-16,PG-13,116,5.3,"Action,Comedy,Fantasy,Sci-Fi",151553,144000000,46018755,128344089,76000
Split,20-Jan-17,PG-13,117,7.3,"Horror,Thriller",183019,9000000,40010975,138120085,52000
Kung Fu Panda 3,29-Jan-16,PG,95,7.2,"Animation,Action,Adventure,Comedy,Family,Fantasy",91736,145000000,41282042,143523463,25000
The Forest,8-Jan-16,PG-13,93,4.8,"Horror,Mystery,Thriller",29394,10000000,12741176,26583369,11000
Resident Evil: The Final Chapter,27-Jan-17,R,107,5.6,"Action,Horror,Sci-Fi,Thriller",51855,40000000,13601682,26844692,22000
Florence Foster Jenkins,12-Aug-16,PG-13,111,6.9,"Biography,Comedy,Drama,Music",33214,29000000,6601313,27370107,27000
The Finest Hours,29-Jan-16,PG-13,117,6.8,"Action,Drama,History,Thriller",45665,80000000,10288932,27550735,15000
Moonlight,18-Nov-16,R,111,7.5,Drama,146207,1500000,402075,27850912,38000
Zoolander 2,12-Feb-16,PG-13,102,4.7,Comedy,49266,50000000,15650000,28837115,29000
When the Bough Breaks,9-Sep-16,PG-13,107,4.8,"Crime,Drama,Horror,Mystery,Thriller",3024,10000000,14202323,29703843,21000
"Hail, Caesar!",5-Feb-16,PG-13,106,6.3,"Comedy,Mystery",90910,22000000,11355225,29997095,24000
Underworld: Blood Wars,6-Jan-17,R,91,5.8,"Action,Adventure,Fantasy",44862,35000000,13688751,30348260,22000
Collateral Beauty,16-Dec-16,PG-13,97,6.8,"Drama,Romance",48717,36000000,7102085,30982955,19000
